id,device_id,timestamp,data,sensor_type
157,KPCL0022,2025-05-04 23:41:51.927,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:41:51'}",temperature
158,KPCL0022,2025-05-04 23:41:51.957,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:41:51'}",humidity
159,KPCL0022,2025-05-04 23:41:51.987,"{'unit': 'lux', 'value': 110, 'timestamp': '04/05/2025, 19:41:51'}",light
160,KPCL0022,2025-05-04 23:41:52.017,"{'unit': 'g', 'value': -0.162053, 'timestamp': '04/05/2025, 19:41:51'}",weight
161,KPCL0022,2025-05-04 23:41:56.990,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:41:56'}",temperature
162,KPCL0022,2025-05-04 23:41:57.020,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:41:56'}",humidity
163,KPCL0022,2025-05-04 23:41:57.051,"{'unit': 'lux', 'value': 120, 'timestamp': '04/05/2025, 19:41:56'}",light
164,KPCL0022,2025-05-04 23:41:57.081,"{'unit': 'g', 'value': -0.165555, 'timestamp': '04/05/2025, 19:41:56'}",weight
165,KPCL0022,2025-05-04 23:42:01.940,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:42:01'}",temperature
166,KPCL0022,2025-05-04 23:42:01.972,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:42:01'}",humidity
167,KPCL0022,2025-05-04 23:42:02.001,"{'unit': 'lux', 'value': 123, 'timestamp': '04/05/2025, 19:42:01'}",light
168,KPCL0022,2025-05-04 23:42:02.032,"{'unit': 'g', 'value': -0.149, 'timestamp': '04/05/2025, 19:42:01'}",weight
169,KPCL0022,2025-05-04 23:42:06.990,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:42:06'}",temperature
170,KPCL0022,2025-05-04 23:42:07.026,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:42:06'}",humidity
171,KPCL0022,2025-05-04 23:42:07.057,"{'unit': 'lux', 'value': 111, 'timestamp': '04/05/2025, 19:42:06'}",light
172,KPCL0022,2025-05-04 23:42:07.087,"{'unit': 'g', 'value': -0.155122, 'timestamp': '04/05/2025, 19:42:06'}",weight
173,KPCL0022,2025-05-04 23:42:11.954,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:42:11'}",temperature
174,KPCL0022,2025-05-04 23:42:11.984,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:42:11'}",humidity
175,KPCL0022,2025-05-04 23:42:12.014,"{'unit': 'lux', 'value': 128, 'timestamp': '04/05/2025, 19:42:11'}",light
176,KPCL0022,2025-05-04 23:42:12.045,"{'unit': 'g', 'value': -0.155312, 'timestamp': '04/05/2025, 19:42:11'}",weight
177,KPCL0022,2025-05-04 23:42:17.004,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:42:16'}",temperature
178,KPCL0022,2025-05-04 23:42:17.035,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:42:16'}",humidity
179,KPCL0022,2025-05-04 23:42:17.065,"{'unit': 'lux', 'value': 113, 'timestamp': '04/05/2025, 19:42:16'}",light
180,KPCL0022,2025-05-04 23:42:17.095,"{'unit': 'g', 'value': -0.136255, 'timestamp': '04/05/2025, 19:42:16'}",weight
181,KPCL0022,2025-05-04 23:42:21.973,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:42:21'}",temperature
182,KPCL0022,2025-05-04 23:42:22.002,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:42:21'}",humidity
183,KPCL0022,2025-05-04 23:42:22.032,"{'unit': 'lux', 'value': 108, 'timestamp': '04/05/2025, 19:42:21'}",light
184,KPCL0022,2025-05-04 23:42:22.062,"{'unit': 'g', 'value': -0.139996, 'timestamp': '04/05/2025, 19:42:21'}",weight
185,KPCL0022,2025-05-04 23:42:26.948,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:42:26'}",temperature
186,KPCL0022,2025-05-04 23:42:26.978,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:42:26'}",humidity
187,KPCL0022,2025-05-04 23:42:27.009,"{'unit': 'lux', 'value': 119, 'timestamp': '04/05/2025, 19:42:26'}",light
188,KPCL0022,2025-05-04 23:42:27.040,"{'unit': 'g', 'value': -0.121941, 'timestamp': '04/05/2025, 19:42:26'}",weight
189,KPCL0022,2025-05-04 23:42:31.989,"{'unit': '°C', 'value': 24.6, 'timestamp': '04/05/2025, 19:42:31'}",temperature
190,KPCL0022,2025-05-04 23:42:32.020,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:42:31'}",humidity
191,KPCL0022,2025-05-04 23:42:32.050,"{'unit': 'lux', 'value': 120, 'timestamp': '04/05/2025, 19:42:31'}",light
192,KPCL0022,2025-05-04 23:42:32.081,"{'unit': 'g', 'value': -0.126943, 'timestamp': '04/05/2025, 19:42:31'}",weight
193,KPCL0022,2025-05-04 23:42:36.949,"{'unit': '°C', 'value': 24.6, 'timestamp': '04/05/2025, 19:42:36'}",temperature
194,KPCL0022,2025-05-04 23:42:36.982,"{'unit': '%', 'value': 25.4, 'timestamp': '04/05/2025, 19:42:36'}",humidity
195,KPCL0022,2025-05-04 23:42:37.013,"{'unit': 'lux', 'value': 119, 'timestamp': '04/05/2025, 19:42:36'}",light
196,KPCL0022,2025-05-04 23:42:37.043,"{'unit': 'g', 'value': -0.091543, 'timestamp': '04/05/2025, 19:42:36'}",weight
197,KPCL0022,2025-05-04 23:42:42.000,"{'unit': '°C', 'value': 24.6, 'timestamp': '04/05/2025, 19:42:41'}",temperature
198,KPCL0022,2025-05-04 23:42:42.034,"{'unit': '%', 'value': 25.5, 'timestamp': '04/05/2025, 19:42:41'}",humidity
